pokedex_number,name_en,name_ko,generation,status,category,is_paldean,is_hisuian,is_galarian,is_alolan,is_mega,is_gigantamax,has_forms,type_number,type_1,type_2,height_m,weight_kg,abilities_number,ability_1,ability_2,ability_hidden,total_points,hp,attack,defense,sp_attack,sp_defense,speed,growth_rate,egg_type_number,egg_type_1,egg_type_2,shape,pokedex_color,image_path
1,bulbasaur,이상해씨,1,일반,씨앗포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,0.7,6.9,2,심록,,엽록소,318,45,49,49,65,65,45,4,2,괴수,식물,사족형,초록,
2,ivysaur,이상해풀,1,일반,씨앗포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,풀,독,1,13,2,심록,,엽록소,405,60,62,63,80,80,60,4,2,괴수,식물,사족형,초록,
3,venusaur,이상해꽃,1,일반,씨앗포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,풀,독,2,100,2,심록,,엽록소,525,80,82,83,100,100,80,4,2,괴수,식물,사족형,초록,
3,venusaur-mega,메가이상해꽃,1,일반,씨앗포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,풀,독,2.4,155.5,1,두꺼운지방,,,625,80,100,123,122,120,80,4,2,괴수,식물,사족형,초록,
4,charmander,파이리,1,일반,도롱뇽포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,0.6,8.5,2,맹화,,선파워,309,39,52,43,60,50,65,4,2,괴수,드래곤,이족꼬리형,빨강,
5,charmeleon,리자드,1,일반,화염포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,불꽃,,1.1,19,2,맹화,,선파워,405,58,64,58,80,65,80,4,2,괴수,드래곤,이족꼬리형,빨강,
6,charizard,리자몽,1,일반,화염포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,불꽃,비행,1.7,90.5,2,맹화,,선파워,534,78,84,78,109,85,100,4,2,괴수,드래곤,이족꼬리형,빨강,
6,charizard-mega-x,메가리자몽X,1,일반,화염포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,불꽃,드래곤,1.7,110.5,1,단단한발톱,,,634,78,130,111,130,85,100,4,2,괴수,드래곤,이족꼬리형,검정,
6,charizard-mega-y,메가리자몽Y,1,일반,화염포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,불꽃,비행,1.7,100.5,1,가뭄,,,634,78,104,78,159,115,100,4,2,괴수,드래곤,이족꼬리형,빨강,
7,squirtle,꼬부기,1,일반,꼬마거북포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,0.5,9,2,급류,,젖은접시,314,44,48,65,50,64,43,4,2,괴수,수중 1,이족꼬리형,파랑,
8,wartortle,어니부기,1,일반,거북포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,물,,1,22.5,2,급류,,젖은접시,405,59,63,80,65,80,58,4,2,괴수,수중 1,이족꼬리형,파랑,
9,blastoise,거북왕,1,일반,껍질포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,물,,1.6,85.5,2,급류,,젖은접시,530,79,83,100,85,105,78,4,2,괴수,수중 1,이족꼬리형,파랑,
9,blastoise-mega,메가거북왕,1,일반,껍질포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,물,,1.6,101.1,1,메가런처,,,630,79,103,120,135,115,78,4,2,괴수,수중 1,이족꼬리형,파랑,
10,caterpie,캐터피,1,일반,애벌레포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,벌레,,0.3,2.9,2,인분,,도주,195,45,30,35,20,20,45,2,1,벌레,,곤충형,초록,
11,metapod,단데기,1,일반,번데기포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,벌레,,0.7,9.9,1,탈피,,,205,50,20,55,25,25,30,2,1,벌레,,뱀형,초록,
12,butterfree,버터플,1,일반,나비포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,벌레,비행,1.1,32,2,복안,,색안경,395,60,45,50,90,80,70,2,1,벌레,,다익형,하양,
13,weedle,뿔충이,1,일반,송충이포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,독,0.3,3.2,2,인분,,도주,195,40,35,30,20,20,50,2,1,벌레,,곤충형,갈색,
14,kakuna,딱충이,1,일반,번데기포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,독,0.6,10,1,탈피,,,205,45,25,50,25,25,35,2,1,벌레,,뱀형,노랑,
15,beedrill,독침붕,1,일반,독벌포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,벌레,독,1,29.5,2,벌레의알림,,스나이퍼,395,65,90,40,45,80,75,2,1,벌레,,다익형,노랑,
15,beedrill-mega,메가독침붕,1,일반,독벌포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,벌레,독,1.4,40.5,1,적응력,,,495,65,150,40,15,80,145,2,1,벌레,,다익형,노랑,
16,pidgey,구구,1,일반,아기새포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,비행,0.3,1.8,3,날카로운눈,갈지자걸음,부풀린가슴,251,40,45,40,35,35,56,4,1,비행,,단익형,갈색,
17,pidgeotto,피죤,1,일반,새포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,비행,1.1,30,3,날카로운눈,갈지자걸음,부풀린가슴,349,63,60,55,50,50,71,4,1,비행,,단익형,갈색,
18,pidgeot,피죤투,1,일반,새포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,비행,1.5,39.5,3,날카로운눈,갈지자걸음,부풀린가슴,479,83,80,75,70,70,101,4,1,비행,,단익형,갈색,
18,pidgeot-mega,메가피죤투,1,일반,새포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,노말,비행,2.2,50.5,1,노가드,,,579,83,80,80,135,80,121,4,1,비행,,단익형,갈색,
19,rattata,꼬렛,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,노말,,0.3,3.5,3,도주,근성,의욕,253,30,56,35,25,35,72,2,1,육상,,사족형,보라,
19,rattata-alolan,알로라꼬렛,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,악,노말,0.3,3.8,3,먹보,의욕,두꺼운지방,253,30,56,35,25,35,72,2,1,육상,,사족형,검정,
20,raticate,레트라,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,노말,,0.7,18.5,3,도주,근성,의욕,413,55,81,60,50,70,97,2,1,육상,,사족형,갈색,
20,raticate-alolan,알로라레트라,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,악,노말,0.7,25.5,3,먹보,의욕,두꺼운지방,413,75,71,70,40,80,77,2,1,육상,,사족형,검정,
21,spearow,깨비참,1,일반,아기새포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,비행,0.3,2,2,날카로운눈,,스나이퍼,262,40,60,30,31,31,70,2,1,비행,,단익형,갈색,
22,fearow,깨비드릴조,1,일반,부리포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,노말,비행,1.2,38,2,날카로운눈,,스나이퍼,442,65,90,65,61,61,100,2,1,비행,,단익형,갈색,
23,ekans,아보,1,일반,뱀포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,2,6.9,3,위협,탈피,긴장감,288,35,60,44,40,54,55,2,2,육상,드래곤,뱀형,보라,
24,arbok,아보크,1,일반,코브라포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,독,,3.5,65,3,위협,탈피,긴장감,448,60,95,69,65,79,80,2,2,육상,드래곤,뱀형,보라,
25,pikachu,피카츄,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,전기,,0.4,6,2,정전기,,피뢰침,320,35,55,40,50,50,90,2,2,육상,요정,사족형,노랑,
26,raichu,라이츄,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,전기,,0.8,30,2,정전기,,피뢰침,485,60,90,55,90,80,110,2,2,육상,요정,이족꼬리형,노랑,
26,raichu-alolan,알로라라이츄,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,전기,에스퍼,0.7,21,1,서핑테일,,,485,60,85,50,95,85,110,2,2,육상,요정,이족꼬리형,갈색,
26,raichu-mega-x,메가라이츄X,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,전기,,1.2,38,2,정전기,,피뢰침,585,60,135,95,90,95,110,2,2,육상,요정,이족꼬리형,노랑,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002603.png
26,raichu-mega-y,메가라이츄Y,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,전기,,1,26,2,정전기,,피뢰침,585,60,100,55,160,80,130,2,2,육상,요정,이족꼬리형,노랑,https://data1.pokemonkorea.co.kr/newdata/pokedex/full/002604.png
27,sandshrew,모래두지,1,일반,쥐포켓몬,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,땅,,0.6,12,2,모래숨기,,모래헤치기,300,50,75,85,20,30,40,2,1,육상,,이족꼬리형,노랑,
